Host,Space Name,Title,Ended,Speakers,Duration,Participants,Space Link
BandaWeb3,"BandaWeb3 #032 @betsacarrizo 
 -Ended: Jan 9 2025 - Speakers: 0 - Duration: 0h",BandaWeb3 #032 @betsacarrizo,Jan 9 2025,0,0h,0,https://x.com/i/spaces/1LyGBgqvvlbJN
BandaWeb3,"BandaWeb3 #031 @yedidweb3 
 -Ended: Jan 7 2024 - Speakers: 3 - Duration: 1h 30m",BandaWeb3 #031 @yedidweb3,Jan 7 2024,3,1h 30m,47,https://x.com/i/spaces/1zqJVYBlZoYGB
BandaWeb3,"BandaWeb3 #030 @the_womenofweb3 
 -Ended: Dec 20 2024 - Speakers: 9 - Duration: 1h 37m",BandaWeb3 #030 @the_womenofweb3,Dec 20 2024,9,1h 37m,89,https://x.com/i/spaces/1OdKrXqDRaOJX
BandaWeb3,"BandaWeb3 #028 Post Posada @arbitrum @eth_mty @mxweb3 
 -Ended: Dec 19 2024 - Speakers: 5 - Duration: 1h 38m",BandaWeb3 #028 Post Posada @arbitrum @eth_mty @mxweb3,Dec 19 2024,5,1h 38m,97,https://x.com/i/spaces/1mnxeAQAARrxX
BandaWeb3,"BandaWeb3 #027 @revillaweb3 
 -Ended: Dec 17 2024 - Speakers: 3 - Duration: 1h 21m",BandaWeb3 #027 @revillaweb3,Dec 17 2024,3,1h 21m,57,https://x.com/i/spaces/1MnxnDQWMRmGO
BandaWeb3,"BandaWeb3 #025 @LaZonaTres 
 -Ended: Dec 12 2024 - Speakers: 2 - Duration: 1h 14m",BandaWeb3 #025 @LaZonaTres,Dec 12 2024,2,1h 14m,71,https://x.com/i/spaces/1LyxBgLOEjpKN
BandaWeb3,"BandaWeb3 #024 @JoseArrietaLU 
 -Ended: Dec 10 2024 - Speakers: 4 - Duration: 1h 25m",BandaWeb3 #024 @JoseArrietaLU,Dec 10 2024,4,1h 25m,60,https://x.com/i/spaces/1vOxwraAQvDJB
BandaWeb3,"BandaWeb3 #024 @JoseArrietaLU 
 -Ended: Dec 10 2024 - Duration: 00m",BandaWeb3 #024 @JoseArrietaLU,Dec 10 2024,,00m,0,https://x.com/i/spaces/1yNGagpAlBgxj
BandaWeb3,"BandaWeb3 #023 @0xDonPepe 
 -Ended: Dec 6 2024 - Duration: 1h 23m",BandaWeb3 #023 @0xDonPepe,Dec 6 2024,,1h 23m,85,https://x.com/i/spaces/1PlJQbLvlqqxE
BandaWeb3,"BandaWeb3 #022 @ariutokintumi 
 -Ended: Dec 5 2024 - Speakers: 3 - Duration: 1h 25m",BandaWeb3 #022 @ariutokintumi,Dec 5 2024,3,1h 25m,51,https://x.com/i/spaces/1kvJpbOrYmDKE
BandaWeb3,"BandaWeb3 #021 @solsiete_web3 
 -Ended: Dec 3 2024 - Speakers: 2 - Duration: 1h 19m",BandaWeb3 #021 @solsiete_web3,Dec 3 2024,2,1h 19m,74,https://x.com/i/spaces/1mnxeAvyBvAxX
BandaWeb3,"BandaWeb3 #020 @isabellasg3 
 -Ended: Nov 29 2024 - Speakers: 2 - Duration: 59m",BandaWeb3 #020 @isabellasg3,Nov 29 2024,2,59m,93,https://x.com/i/spaces/1MYxNMqyDDvJw
BandaWeb3,"BandaWeb3 #019 @brozrdz 
 -Ended: Nov 28 2024 - Duration: 1h 12m",BandaWeb3 #019 @brozrdz,Nov 28 2024,,1h 12m,62,https://x.com/i/spaces/1OdJrXpggBVKX
BandaWeb3,"BandaWeb3 #018 @laChicaWeb3 
 -Ended: Nov 26 2024 - Duration: 1h 30m",BandaWeb3 #018 @laChicaWeb3,Nov 26 2024,,1h 30m,63,https://x.com/i/spaces/1YpKklLpqbwGj
BandaWeb3,"BamdaWeb3 #020 @isabellasg3 
 -Ended: Nov 22 2024 - Duration: 00m",BamdaWeb3 #020 @isabellasg3,Nov 22 2024,,00m,0,https://x.com/i/spaces/1LyxBgQyZvaKN
BandaWeb3,"BandaWeb3 #017 @CryptoNotaz 
 -Ended: Nov 22 2024 - Speakers: 6 - Duration: 2h 07m",BandaWeb3 #017 @CryptoNotaz,Nov 22 2024,6,2h 07m,200,https://x.com/i/spaces/1PlJQbrdMXXxE
BandaWeb3,"BandaWeb3 #016 @eddiespino 
 -Ended: Nov 21 2024 - Speakers: 3 - Duration: 1h 41m",BandaWeb3 #016 @eddiespino,Nov 21 2024,3,1h 41m,135,https://x.com/i/spaces/1ynKODANPyvGR
BandaWeb3,"BandaWeb3 #015 @Atitovva 
 -Ended: - Speakers: 3 - Duration:",BandaWeb3 #015 @Atitovva,,3,,21,https://x.com/i/spaces/1OdKrXADwlXJX
BandaWeb3,"BandaWeb3 #014 @AnanaNFTs 
 -Ended: Nov 19 2024 - Speakers: 2 - Duration: 1h 16m",BandaWeb3 #014 @AnanaNFTs,Nov 19 2024,2,1h 16m,108,https://x.com/i/spaces/1lDxLlabMdoxm
BandaWeb3,"BandaWeb3 #013 @AndriuJose20 
 -Ended: Nov 14 2024 - Speakers: 3 - Duration: 1h 29m",BandaWeb3 #013 @AndriuJose20,Nov 14 2024,3,1h 29m,92,https://x.com/i/spaces/1nAKEpWrVXaxL
BandaWeb3,"BandaWeb3 #012 @asarvide9 
 -Ended: Nov 12 2024 - Speakers: 3 - Duration: 1h 53m",BandaWeb3 #012 @asarvide9,Nov 12 2024,3,1h 53m,32,https://x.com/i/spaces/1lDGLlAnDWkGm
BandaWeb3,"BandaWeb3 #011 @rosaglez_eth 
 -Ended: Nov 7 2024 - Speakers: 2 - Duration: 1h 33m",BandaWeb3 #011 @rosaglez_eth,Nov 7 2024,2,1h 33m,50,https://x.com/i/spaces/1RDGlymzPrMJL
BandaWeb3,"BandaWeb3 #006 @MinimalTrader_ 
 -Ended: - Speakers:  - Duration:",BandaWeb3 #006 @MinimalTrader_,,,,0,https://x.com/i/spaces/1BRJjwVWbPVxw
BandaWeb3,"BandaWeb3 - Verborrea #1 con mexi.wtf 
 -Ended: Aug 15 2024 - Duration: 1h 03m",BandaWeb3 - Verborrea #1 con mexi.wtf,Aug 15 2024,,1h 03m,27,https://x.com/i/spaces/1dRJZdoMbrzKB
BandaWeb3,"BandaWeb3 - Verborrea con mexi.wtf parte 2 
 -Ended: Aug 13 2024 - Duration: 45m",BandaWeb3 - Verborrea con mexi.wtf parte 2,Aug 13 2024,,45m,12,https://x.com/i/spaces/1DXxydPEwPZJM
BandaWeb3,"BandaWeb3 - @bitcoinweekio en Monterrey 26 y 27 de junio 
 -Ended: Jun 25 2024 - Speakers: 8 - Duration: 1h 16m",BandaWeb3 - @bitcoinweekio en Monterrey 26 y 27 de junio,Jun 25 2024,8,1h 16m,115,https://x.com/i/spaces/1YpKkwlNlNYKj
BandaWeb3,"BandaWeb3 - @consesus2024 @thebafnetwork 
 -Ended: May 28 2024 - Duration: 25m",BandaWeb3 - @consesus2024 @thebafnetwork,May 28 2024,,25m,6,https://x.com/i/spaces/1vOxwjELRWVJB
BandaWeb3,"BandaWeb3 - Exhibiciones IRL: TokyoSolidMexico2 
 -Ended: May 16 2024 - Speakers: 6 - Duration: 1h 28m",BandaWeb3 - Exhibiciones IRL: TokyoSolidMexico2,May 16 2024,6,1h 28m,99,https://x.com/i/spaces/1eaKbgQopRnGX
BandaWeb3,"banda web3 - @monkdoesnt de @madlads y @backpack 
 -Ended: May 7 2024 - Speakers: 10 - Duration: 1h 40m",Banda web3 - @monkdoesnt de @madlads y @backpack,May 7 2024,10,1h 40m,356,https://x.com/i/spaces/1YqGoDjdRMvJv
BandaWeb3,"verborrea - colección de runes sub100k 
 -Ended: Apr 27 2024 - Duration: 13m",Verborrea - colección de runes sub100k,Apr 27 2024,,13m,4,https://x.com/i/spaces/1nAJEayXLoYJL
BandaWeb3,"RUNES ARE A SCAM - DO•NOT•MINT•RUNES 
 -Ended: Apr 20 2024 - Speakers: 5 - Duration: 25m",RUNES ARE A SCAM - DO•NOT•MINT•RUNES,Apr 20 2024,5,25m,45,https://x.com/i/spaces/1yoKMwVvvDDJQ
BandaWeb3,"Testing 123/ 
 -Ended: Mar 21 2023 - Duration: 07m",Testing 123/,Mar 21 2023,,07m,2,https://x.com/i/spaces/1ZkKzXOYgZwJv
