,,,,,,,,
,"100K TODAY
 - Ended: Dec 5 2024 - Speakers: 19 - Duration: 2h 33m
",100K TODAY,Dec 5 2024,19,2h 33m,327,PLAY,https://x.com/i/spaces/1eaKbavOLYqxX
,"Banda Web3 - ICP Hub Latam, fomentando la educación con ICP
 - Ended: Jan 23 2024 - Speakers: 4 - Duration: 1h 14m
","Banda Web3 - ICP Hub Latam, fomentando la educación con ICP",Jan 23 2024,4,1h 14m,90,REPLAY,https://x.com/i/spaces/1lPJqbljglWxb
,"XRC20 - Solscriptions - Ethscriptions - Todo el Alpha
 - Ended: Dec 27 2023 - Speakers: 17 - Duration: 2h 35m
",XRC20 - Solscriptions - Ethscriptions - Todo el Alpha,Dec 27 2023,17,2h 35m,268,REPLAY,https://x.com/i/spaces/1LyxBnmXnzWxN
,"XRC20 $MEXI
 - Ended: Dec 27 2023 - Speakers: 9 - Duration: 45m
",XRC20 $MEXI,Dec 27 2023,9,45m,88,REPLAY,https://x.com/i/spaces/1vOxwjWdZvDJB
,"Open Mic - Parte 2 - 69 segundos para shillear lo que sea
 - Ended: Jul 25 2023 - Speakers: 16 - Duration: 1h 16m
",Open Mic - Parte 2 - 69 segundos para shillear lo que sea,Jul 25 2023,16,1h 16m,73,REPLAY,https://x.com/i/spaces/1BdGYyrpoyvGX
,"Lu, Jesús y Mexi - Threads, todo lo que necesitas saber Parte 2
 - Ended: Jul 6 2023 - Speakers: 9 - Duration: 1h 41m
","Lu, Jesús y Mexi - Threads, todo lo que necesitas saber Parte 2",Jul 6 2023,9,1h 41m,118,REPLAY,https://x.com/i/spaces/1YqKDoqQRQwxV
,"La Abogada, el Economista y El Ingeniero - NFT Show México Mty
 - Ended: May 18 2023 - Speakers: 20 - Duration: 1h 51m
","La Abogada, el Economista y El Ingeniero - NFT Show México Mty",May 18 2023,20,1h 51m,126,REPLAY,https://x.com/i/spaces/1YqKDoBgNrkxV
,"El pasado y el futuro de @mxweb3
 - Ended: May 12 2023 - Duration: 52m
","El pasado y el futuro de 
@mxweb3",May 12 2023,-,52m,21,REPLAY,https://x.com/i/spaces/1OyJAVpbMZgxb
,"El Gorila, el Economista y el Ingeniero - TulumCryptoFest/ Eventos Mty
 - Ended: May 9 2023 - Speakers: 9 - Duration: 2h 16m
","El Gorila, el Economista y el Ingeniero - TulumCryptoFest/ Eventos Mty",May 9 2023,9,2h 16m,104,REPLAY,https://x.com/i/spaces/1yNGaNvDpqqJj
,"El Gorila, el Economista y el Ingeniero - Tulum Crypto Fest
 - Ended: May 9 2023 - Duration: 03m
","El Gorila, el Economista y el Ingeniero - Tulum Crypto Fest",May 9 2023,-,3m,15,REPLAY,https://x.com/i/spaces/1zqKVPaZEwpJB
,"Platicame de tu proyecto
 - Ended: Mar 4 2023 - Duration: 32m",Platicame de tu proyecto,Mar 4 2023,-,32m,5,REPLAY,https://x.com/i/spaces/1eaKbrYwPzdKX
,"Platicame de tu proyecto
 - Ended: Mar 4 2023 - Speakers: 9 - Duration: 28m",Platicame de tu proyecto,Mar 4 2023,9,28m,18,REPLAY,https://x.com/i/spaces/1YpJkgnjoqEJj
,"mxweb3 - sesión de trabajo
 - Ended: Jan 21 2023 - Speakers: 3 - Duration: 1h 43m
",mxweb3 - sesión de trabajo,Jan 21 2023,3,1h 43m,51,REPLAY,https://x.com/i/spaces/1YqKDoDXjbaxV
,"Sesión de trabajo en @mxweb3
 - Ended: Dec 22 2022 - Speakers: 2 - Duration: 1h 25m
","Sesión de trabajo en 
@mxweb3",Dec 22 2022,2,1h 25m,17,REPLAY,https://x.com/i/spaces/1zqJVPkdnbpKB
,"¿cómo entrevistar a los miembros de equipos de colecciones nuevas?
 - Ended: Dec 16 2022 - Speakers: 6 - Duration: 2h 11m
",¿cómo entrevistar a los miembros de equipos de colecciones nuevas?,Dec 16 2022,6,2h 11m,35,REPLAY,https://x.com/i/spaces/1mrGmklgzAVxy
,"@mxweb3 sesión 2 - lluvia de ideas
 - Ended: Dec 15 2022 - Speakers: 7 - Duration: 2h 11m",@mxweb3 sesión 2 - lluvia de ideas,Dec 15 2022,7,2h 11m,40,REPLAY,https://x.com/i/spaces/1ZkKzXlpbqgJv
,"Brainstorming comunidad @mxweb3
 - Ended: Dec 9 2022 - Duration: 1h 02m","Brainstorming comunidad 
@mxweb3",Dec 9 2022,-,1h 02m,14,REPLAY,https://x.com/i/spaces/1BRKjZoZvpaKw
,"El economista y el ingeniero Ep02
 - Ended: Nov 15 2022 - Speakers: 11 - Duration: 1h 46m
",El economista y el ingeniero Ep02,Nov 15 2022,11,1h 46m,79,REPLAY,https://x.com/i/spaces/1yoJMZgAeBwxQ
,"Café Tacuba Acústico Live
 - Ended: Nov 13 2022 - Duration: 21m",Café Tacuba Acústico Live,Nov 13 2022,-,21m,7,REPLAY,https://x.com/i/spaces/1ypKddyNoPLKW
,"AMA #Sub80k y XRC20
 - Ended: Dec 30 2023 - Speakers: 12 - Duration: 1h 59m
",AMA #Sub80k y XRC20,Dec 30 2023,12,1h 59m,293,REPLAY,https://x.com/i/spaces/1BRJjPMOlZeKw
,"El economista y el ingeniero Ep04
 - Ended: Nov 22 2022 - Speakers: 11 - Duration: 1h 51m
",El economista y el ingeniero Ep04,Nov 22 2022,11,1h 51m,60,REPLAY,https://x.com/i/spaces/1zqKVPozepnJB
,"La abogada, el economista y el ingeniero - NFTs @cervezaindio
 - Ended: Dec 15 2022 - Speakers: 6 - Duration: 1h 37m","La abogada, el economista y el ingeniero - NFTs 
@cervezaindio",Dec 15 2022,6,1h 37m,48,REPLAY,https://x.com/i/spaces/1MnGnpjXwjBxO
