Title,Ended,Speakers,Duration
"El DJ, el Economista y el Ingeniero - @brozrdz",Feb 28 2023,30,4h 14m
El Economista y el Ingeniero - ¿Shitcoins = Ponzis?,May 16 2023,22,3h 20m
"La Curadora, la Sacerdotisa y el Ingeniero - Eventos en CDMX",Jul 18 2023,10,2h 30m
Previo al evento en Monterrey de @MarcusDantusNFT,Nov 22 2022,11,1h 20m
El economista y el ingeniero Ep03,Nov 17 2022,7,1h 30m
NFT Arte y artistas de piezas 1-1. Episodio 05 con @meximalist,Jul 29 2022,7,2h 37m
Conoce las iniciativas de @Nohbek_oficial y sus fundadoras,Nov 14 2023,10,2h 06m
"Banda Web3 - Nouns, Prop House y Nouns DAO Amigos",Jan 11 2024,16,2h 11m
El primer examen On Chain del mundo - DEFI,Sep 19 2023,7,1h 56m
"El Contador, el Economista y el Ingeniero - Fed Chair Powell",Mar 7 2023,6,1h 05m
"La abogada, el economista y el ingeniero",Jan 19 2023,8,1h 53m
"La Abogada, el Economista y el Ingeniero - ¿Faltan bancos por caer?",Mar 14 2023,12,2h 12m
"La abogada, el economista y el ingeniero - Ley creadores de contenido",Jan 12 2023,7,1h 35m
Entrevista con el equipo de @IvoryInvestors,Dec 18 2021,6,59m
Banda Web3 - Salud Mental con @MotusDao,Dec 19 2023,9,2h 23m
El Spaces que necesitábamos Ep04 Colección @masmonos con @meximalist,Jul 7 2022,16,2h 47m
"La Abogada, el Economista y el Ingeniero - Leyes en Europa",Apr 20 2023,8,2h 21m
"La abogada, el economista y el ingeniero Ep 05",Nov 24 2022,6,1h 34m
@Meta_Pool - Gobernanza on-chain y Grants,Nov 16 2023,4,1h 51m
"La Abogada, el Economista y el Ingeniero - Historia del Dinero",Feb 16 2023,6,1h 41m
"La Sacerdotisa, el Economista y el Inge - Rug Show Mx",Jun 6 2023,2,2h 58m
"Banda Web3 - ICP Hub Latam, fomentando la educación con ICP",Jan 23 2024,2,08m
"El Economista, el Looser y el Ingeniero - Noticias y Pre NFTNYC",Apr 11 2023,13,2h 26m
Banda Web3 - Ataque a LEDGER 😭,Dec 14 2023,13,1h 23m
Banda Web3 - Chismesito con @anaqueenmaker,Dec 5 2023,5,1h 52m
"Eventos en Mty, puentes quemados, @Gitcoin Shill Space",Nov 21 2023,19,3h 30m
Proyectos de la comunidad @mxweb3 y Tertulia Jam de @Happ3nxyz,Nov 28 2023,9,2h 10m
Banda Web3 - Estado del mercado con @granmetanoia y @deLarg0,Dec 12 2023,7,1h 43m
Women of Web3 NYC Recap con @Anana @Neefter_,Sep 28 2023,9,1h 50m
"La Sacerdotisa, el Economista y el Inge - CriptoLatinFest/Cetes/$NET",Jun 13 2023,8,2h 18m
Gitcoin Grants #18 @refimexico @antisat_eth @carnescrypto,Aug 24 2023,5,1h 10m
"La Contadora, el Economista y el Ingeniero - Regulación Cripto",Feb 21 2023,3,1h 45m
"La Abogada, el Economista y el Ingeniero - Código Civil, SEC, SWIFT",Jun 8 2023,4,1h 34m
To The Moon - @TheSuperama Live Mint,Nov 3 2023,8,1h 42m
Banda Web3 - Caso @0xgonzalo_ con @solencontraluz,Dec 26 2023,12,2h 30m
MegaSpace - MUJ3RES SE VAN A LA ONU,Sep 12 2023,17,2h 28m
Emprendimiento Web3 con Zona Tres @lazonatres,Nov 30 2023,12,2h 19m
NFTs de artistas latinos y créditos de carbón con @FivParis @AsesEco,Nov 7 2023,11,1h 56m
Mujeres en Web3 - Charla en las Naciones Unidas - Gracias @sandym_c,Aug 8 2023,15,2h 00m
"La abogada, el economista y el ingeniero - 2022 y Perspectivas 2023",Jan 3 2023,9,1h 33m
Acapulco necesita ayuda. Gitcoin Ronda 19 y #AcapulcoWeb3,Oct 31 2023,13,2h 09m
La Belga y el Ingeniero - Apoyo Wiki / Marcus Dantus NFT,May 2 2023,11,1h 38m
"El pescador, el economista y el ingeniero Ep06",Nov 29 2022,10,1h 15m
El Economista y el Ingeniero,Feb 14 2023,7,1h 45m
"Lu, Jesús y Mexi - Threads, todo lo que necesitas saber",Jul 6 2023,8,42m
"El economista, el pescador y el ingeniero - Rugs IRL y Rugs en Web3",Dec 13 2022,15,2h 35m
"El economista, el ingeniero y el dropout - Tesla en NL, MX",Dec 20 2022,21,2h 05m
PixHelp de @UNICEFColombia - Arte NFT que ayuda,Nov 9 2023,8,1h 59m
"La artista, el pescador y el ingeniero - cómo entrevistar proyectos?",Jan 31 2023,17,3h 02m
